2nd run with 4 layers of aluminum foil

2020-02-22 00:12:36.336319
1: 5.74608016014
2: 30.1195220947
3: 36.1325111389
4: 47.9946010113
5: 50.872934103
6: 69.559718132
7: 69.771075964
8: 76.1481630802
9: 80.9874460697
10: 81.3601281643
11: 91.7796781063
12: 94.353233099
13: 96.4103820324
14: 101.325730085
15: 101.47709012
16: 104.221491098
17: 125.126543045
18: 132.046564102
19: 133.645735979
20: 135.887375116
21: 143.106388092
22: 147.105381012
23: 151.358057976
24: 165.265794992
25: 170.135599136
26: 174.436098099
27: 178.154782057
28: 186.294996023
29: 205.856336117
30: 207.823273182
31: 208.163149118
32: 220.554111004
33: 225.952955961
34: 228.693961143
35: 231.693468094
36: 236.862100124
37: 239.811285973
38: 242.700863123
39: 268.317878962
40: 291.072891951
41: 296.245903969
42: 300.907118082
43: 303.593444109
44: 316.091333151
45: 324.08616209
46: 325.97241497
47: 326.976072073
48: 330.818976164
49: 342.413836956
50: 347.451745033
51: 348.773473978
52: 352.103441
53: 360.228636026
54: 379.065129995
55: 381.874144077
56: 387.296583176
57: 397.595597029
58: 405.120301962
59: 407.246658087
60: 412.657184124
61: 416.441574097
62: 417.710340977
63: 427.231769085
64: 429.962995052
65: 456.146599054
66: 463.41519618
67: 467.349761009
68: 478.110098124
69: 480.756374121
70: 487.33159399
71: 494.608006954
72: 499.382673025
73: 505.33894515
74: 509.921935081
75: 515.717571974
76: 524.816915035
77: 525.707796097
78: 542.323605061
79: 566.088718176
80: 571.163391113
81: 574.166347027
82: 578.901223183
83: 589.043838978
84: 596.92978096
85: 598.021605968
86: 610.835548162
87: 612.738139153
88: 615.222558022
89: 615.410192013
90: 627.745969057
91: 630.423643112
92: 640.811382055
93: 644.557684183
94: 656.601799965
95: 656.908138037
96: 674.166325092
97: 686.055667162
98: 719.62658906
99: 723.588283062
100: 735.453114033
Total count = 100
Count rate = 0.135951873719 Hz
Total dead time = 10.0 seconds
