2nd run with 3 layers of aluminum foil

2020-02-21 23:37:06.823480
1: 6.84301996231
2: 15.908924818
3: 20.7298269272
4: 32.8984248638
5: 69.1905679703
6: 78.954228878
7: 95.6622548103
8: 98.4527058601
9: 98.716960907
10: 121.463652849
11: 124.255462885
12: 129.340252876
13: 137.485545874
14: 140.586247921
15: 147.134339809
16: 147.969095945
17: 148.420563936
18: 149.835342884
19: 165.896758795
20: 172.402567863
21: 197.811975002
22: 201.334474802
23: 215.613358021
24: 227.609377861
25: 231.89917779
26: 240.40877986
27: 249.275587797
28: 259.728269815
29: 269.167659998
30: 275.92364502
31: 282.481988907
32: 297.908263922
33: 298.10591197
34: 303.058517933
35: 306.093243837
36: 317.859812021
37: 329.950006962
38: 333.201241016
39: 339.51124692
40: 345.744930983
41: 352.59858489
42: 372.714471817
43: 384.903844833
44: 412.5209198
45: 414.022858858
46: 415.248134851
47: 422.868638992
48: 449.01994586
49: 464.562563896
50: 470.830228806
51: 486.603329897
52: 487.65854001
53: 487.791304827
54: 488.85884285
55: 490.062870979
56: 511.52690196
57: 515.746398926
58: 526.723170996
59: 529.770679951
60: 543.272136927
61: 543.700495005
62: 548.087476969
63: 549.58618784
64: 551.521679878
65: 554.10479188
66: 573.149541855
67: 574.844051838
68: 578.696341991
69: 581.257941961
70: 581.934868813
71: 588.941296816
72: 593.604943991
73: 595.009709835
74: 595.257746935
75: 596.093279839
76: 602.887609959
77: 617.120600939
78: 622.008058786
79: 624.392916918
80: 628.274379969
81: 640.498049974
82: 642.492698908
83: 647.747984886
84: 649.715483904
85: 652.946456909
86: 663.527765989
87: 672.132978916
88: 676.176826954
89: 682.644836903
90: 697.839043856
91: 699.529966831
92: 719.944521904
93: 721.65939784
94: 722.389863014
95: 724.612984896
96: 724.857410908
97: 726.122275829
98: 727.364764929
99: 732.898048878
100: 734.030321836
Total count = 100
Count rate = 0.136215363089 Hz
Total dead time = 10.0 seconds
