1st run with 3 layers of aluminum foil

2020-02-21 23:04:09.434322
1: 1.82556319237
2: 8.51608514786
3: 15.7874441147
4: 31.5013141632
5: 32.4142961502
6: 46.6253311634
7: 65.849435091
8: 70.8967311382
9: 74.3242971897
10: 75.7144360542
11: 82.3577711582
12: 99.5611732006
13: 104.008313179
14: 110.963582039
15: 127.666904211
16: 128.648614168
17: 132.531701088
18: 135.093181133
19: 144.767008066
20: 152.350686073
21: 161.868319035
22: 163.074536085
23: 166.894608021
24: 176.302496195
25: 190.406009197
26: 191.574184179
27: 195.444101095
28: 196.06975913
29: 197.992836237
30: 199.913933039
31: 216.59958005
32: 222.061395168
33: 244.093407154
34: 244.262658119
35: 250.579804182
36: 250.757332087
37: 258.404147148
38: 265.340563059
39: 269.557220221
40: 294.281827211
41: 296.270886183
42: 299.835139036
43: 301.543907166
44: 305.640899181
45: 308.601931095
46: 310.134452105
47: 318.148339033
48: 320.693976164
49: 329.208297014
50: 333.369507074
51: 338.004184008
52: 343.317811012
53: 349.130007029
54: 350.73548317
55: 354.112785101
56: 371.28751111
57: 373.360598087
58: 373.520348072
59: 375.211287022
60: 376.310475111
61: 381.082871199
62: 383.718222141
63: 391.689943075
64: 417.874088049
65: 421.377258062
66: 433.698421001
67: 438.0749681
68: 441.705719233
69: 454.808106184
70: 456.351715088
71: 477.82705617
72: 479.870340109
73: 481.590156078
74: 486.452793121
75: 494.919729233
76: 497.21034503
77: 504.628693104
78: 512.623796225
79: 521.83242321
80: 528.34287405
81: 530.61145401
82: 531.817351103
83: 534.278839111
84: 541.080243111
85: 542.01863718
86: 557.312942028
87: 584.58535409
88: 591.778014183
89: 600.939618111
90: 604.900103092
91: 608.271795034
92: 623.276960135
93: 642.546070099
94: 650.84217906
95: 657.43722105
96: 684.359331131
97: 697.815535069
98: 707.509801149
99: 721.660051107
100: 727.277943134
Total count = 100
Count rate = 0.137479874617 Hz
Total dead time = 10.0 seconds
